域名	解析IP	开放端口	WEB服务器	网站状态
bc.js.org	172.67.73.64,104.26.9.84,104.26.8.84	80,443	cloudflare	80:正常访问
bo.js.org	172.67.73.64,104.26.9.84,104.26.8.84	80,443	cloudflare	80:正常访问
h.js.org	104.26.8.84,172.67.73.64,104.26.9.84	80,443	cloudflare	80:正常访问
c.js.org	104.26.8.84,172.67.73.64,104.26.9.84	80,443	cloudflare	80:正常访问
g.js.org	172.67.73.64,104.26.8.84,104.26.9.84	80,443	cloudflare	80:正常访问
n.js.org	104.26.9.84,172.67.73.64,104.26.8.84	80,443	cloudflare	80:正常访问
no.js.org	104.26.8.84,104.26.9.84,172.67.73.64	80,443	cloudflare	80:正常访问
r.js.org	104.26.9.84,104.26.8.84,172.67.73.64	80,443	cloudflare	80:正常访问
bb.js.org	104.26.9.84,172.67.73.64,104.26.8.84	80,443	cloudflare	80:正常访问
of.js.org	172.67.73.64,104.26.8.84,104.26.9.84	80,443	cloudflare	80:正常访问
tt.js.org	104.26.9.84,104.26.8.84,172.67.73.64	80,443	cloudflare	80:正常访问
ss.js.org	76.76.21.93,76.76.21.142	80,443	Vercel	80:(308) Permanent Redirect
u.js.org	185.199.108.153,185.199.109.153,185.199.111.153,185.199.110.153	80,443	GitHub.com	80:正常访问
x.js.org	172.67.73.64,104.26.8.84,104.26.9.84	80,443	cloudflare	80:正常访问
t.js.org	104.26.8.84,172.67.73.64,104.26.9.84	80,443	cloudflare	80:(308) Permanent Redirect
v.js.org	104.18.36.15,172.64.151.241	80	cloudflare	80:(403) 已禁止
city.js.org	104.26.8.84,104.26.9.84,172.67.73.64	80,443	cloudflare	80:正常访问
www.js.org	172.67.73.64,104.26.8.84,104.26.9.84	80,443	cloudflare	80:正常访问
snow.js.org	76.76.21.164,76.76.21.22	80,443	Vercel	80:(308) Permanent Redirect
ps.js.org	104.26.9.84,104.26.8.84,172.67.73.64	80,443	cloudflare	80:正常访问
start.js.org	104.26.9.84,104.26.8.84,172.67.73.64	80,443	cloudflare	80:正常访问
mi.js.org	172.67.73.64,104.26.8.84,104.26.9.84	80,443	cloudflare	80:正常访问
cp.js.org	104.26.8.84,104.26.9.84,172.67.73.64	80,443	cloudflare	80:正常访问
ipv4.js.org	104.26.9.84,172.67.73.64,104.26.8.84	80,443	cloudflare	80:正常访问
id.js.org	104.26.9.84,104.26.8.84,172.67.73.64	80,443	cloudflare	80:正常访问
hello.js.org	185.199.110.153,185.199.108.153,185.199.109.153,185.199.111.153	80,443	GitHub.com	80:正常访问
cn.js.org	104.26.8.84,104.26.9.84,172.67.73.64	80,443	cloudflare	80:正常访问
shop.js.org	104.26.8.84,172.67.73.64,104.26.9.84	80,443	cloudflare	80:正常访问
get.js.org	185.199.108.153,185.199.111.153,185.199.109.153,185.199.110.153	80,443	获取失败	80:-
date.js.org	185.199.111.153,185.199.109.153,185.199.110.153,185.199.108.153	80,443	GitHub.com	80:正常访问
360.js.org	104.26.9.84,172.67.73.64,104.26.8.84	80,443	cloudflare	80:正常访问
flash.js.org	172.67.73.64,104.26.8.84,104.26.9.84	80,443	cloudflare	80:正常访问
xss.js.org	104.26.8.84,172.67.73.64,104.26.9.84	80,443	cloudflare	80:正常访问
yu.js.org	104.26.9.84,104.26.8.84,172.67.73.64	80,443	cloudflare	80:正常访问
share.js.org	104.26.9.84,172.67.73.64,104.26.8.84	80,443	cloudflare	80:正常访问
dvd.js.org	172.67.73.64,104.26.9.84,104.26.8.84	80,443	cloudflare	80:正常访问
sql.js.org	104.26.8.84,104.26.9.84,172.67.73.64	80,443	cloudflare	80:正常访问
request.js.org	172.64.153.204,104.18.34.52	80,443	cloudflare	80:正常访问
rp.js.org	185.199.109.153,185.199.111.153,185.199.110.153,185.199.108.153	80,443	GitHub.com	80:正常访问
music.js.org	172.67.73.64,104.26.8.84,104.26.9.84	80,443	cloudflare	80:正常访问
hk.js.org	185.199.109.153,185.199.110.153,185.199.111.153,185.199.108.153	80,443	GitHub.com	80:正常访问
alipay.js.org	104.26.9.84,104.26.8.84,172.67.73.64	80,443	cloudflare	80:正常访问
happy.js.org	185.199.108.153,185.199.110.153,185.199.111.153,185.199.109.153	80,443	GitHub.com	80:正常访问
style.js.org	185.199.110.153,185.199.108.153,185.199.111.153,185.199.109.153	80,443	GitHub.com	80:正常访问
mm.js.org	104.26.9.84,104.26.8.84,172.67.73.64	80,443	cloudflare	80:正常访问
lan.js.org	172.67.73.64,104.26.8.84,104.26.9.84	80,443	cloudflare	80:正常访问
wiki.js.org	34.124.186.36,18.139.201.98	80,443	获取失败	80:-
menu.js.org	172.67.73.64,104.26.9.84,104.26.8.84	80,443	cloudflare	80:正常访问
bin.js.org	104.26.9.84,172.67.73.64,104.26.8.84	80,443	cloudflare	80:正常访问
color.js.org	104.26.9.84,104.26.8.84,172.67.73.64	80,443	cloudflare	80:正常访问
ac.js.org	104.26.9.84,104.26.8.84,172.67.73.64	80,443	cloudflare	80:正常访问
affiliate.js.org	104.26.8.84,104.26.9.84,172.67.73.64	80,443	cloudflare	80:正常访问
arc.js.org	104.26.8.84,104.26.9.84,172.67.73.64	80,443	cloudflare	80:正常访问
cable.js.org	185.199.111.153,185.199.108.153,185.199.110.153,185.199.109.153	80,443	GitHub.com	80:正常访问
bliss.js.org	104.26.8.84,172.67.73.64,104.26.9.84	80,443	cloudflare	80:正常访问
athena.js.org	172.67.73.64,104.26.9.84,104.26.8.84	80,443	cloudflare	80:正常访问
be.js.org	172.67.73.64,104.26.9.84,104.26.8.84	80,443	cloudflare	80:正常访问
bs.js.org	104.26.9.84,104.26.8.84,172.67.73.64	80,443	cloudflare	80:正常访问
classroom.js.org	104.26.8.84,104.26.9.84,172.67.73.64	80,443	cloudflare	80:正常访问
ck.js.org	104.26.9.84,104.26.8.84,172.67.73.64	80,443	cloudflare	80:正常访问
consultant.js.org	104.26.9.84,172.67.73.64,104.26.8.84	80,443	cloudflare	80:正常访问
cr.js.org	172.67.73.64,104.26.9.84,104.26.8.84	80,443	cloudflare	80:正常访问
bt.js.org	104.26.8.84,172.67.73.64,104.26.9.84	80,443	cloudflare	80:正常访问
cork.js.org	172.67.73.64,104.26.8.84,104.26.9.84	80,443	cloudflare	80:正常访问
eta.js.org	76.76.21.164,76.76.21.9	80,443	Vercel	80:(308) Permanent Redirect
discuss.js.org	76.76.21.61,76.76.21.9	80,443	Vercel	80:(308) Permanent Redirect
device.js.org	104.26.8.84,104.26.9.84,172.67.73.64	80,443	cloudflare	80:正常访问
george.js.org	104.26.9.84,104.26.8.84,172.67.73.64	80,443	cloudflare	80:正常访问
filter.js.org	104.26.8.84,172.67.73.64,104.26.9.84	80,443	cloudflare	80:正常访问
hub.js.org	104.26.8.84,172.67.73.64,104.26.9.84	80,443	cloudflare	80:正常访问
https.js.org	185.199.109.153,185.199.111.153,185.199.108.153,185.199.110.153	80,443	获取失败	80:-
echo.js.org	104.26.9.84,104.26.8.84,172.67.73.64	80,443	cloudflare	80:正常访问
je.js.org	76.76.21.164,76.76.21.61	80,443	Vercel	80:(308) Permanent Redirect
is.js.org	185.199.111.153,185.199.110.153,185.199.108.153,185.199.109.153	80,443	GitHub.com	80:正常访问
ir.js.org	104.26.9.84,172.67.73.64,104.26.8.84	80,443	cloudflare	80:正常访问
highway.js.org	172.67.73.64,104.26.8.84,104.26.9.84	80,443	cloudflare	80:正常访问
